Sl No,                                                                          Prompts
11,"(masterpice, best quality, high quality, highres:1.4), extremely detailed, detailed skin, soft skin, ambient soft lighting, 4K, 1girl, solo, upper body, (mature female, milf:1.2), standing, medium shot, cowboy shot, from behind, from below, white hair, silver hair, long hair, floating hair, messy hair, straight hair, blue eyes, long eyelashes, thick eyelashes, looking at viewer, looking back, closed mouth, smile, undershirt, shirt, white thighhighs, see-through, wet, (bottomless:1.1), curvy, small breasts, thick thighs, skindentation, pussy, puffy pussy, cleft of venus, ass, outdoors, forest, pines, grass, rocks, flowers, plants, (river:1.2), partially submerged"
12,"1girl, panty pull, undressing, skirt, classroom, looking back, masterpiece, best quality, highly detailed"
13,"Portrait of a girl, the most beautiful in the world, (nude :1.2), full body, suntanned skin, outdoors, intense sunlight,  ocean, professional photograph of a stunning woman, detailed, sitting on the beach, shy, bashful, blushing, sharp focus, dramatic, award winning, cinematic lighting, volumetrics dtx, (film grain, blurry background, blurry foreground, bokeh, depth of field, sunset, interaction, ), (masterpiece), (extremely intricate:1.3), ()"
14,"short parted down middle white hair, solo, masterpiece, perfect face,  white short hair, detailed face, detailed eyes, long lashes, adult, mature, (red eyes), (dynamic angle), beautiful detailed cloud, upper shot, close up, bathing under a water fall in the water, aqua water, water lillys and flowers, cherry blossoms, sunset, cleavage, (small breasts), (in forest), expressionless, middle breast, lens flare, shine, showering under waterfall, (nude), (sunset)"
15,"masterpiece, highres, ultra-detailed, LtnGlr, glaring, rivals, multiple girls, 2girls, breasts, shorts, red hair, short hair, breast press, short shorts, large breasts, white background, asymmetrical docking, simple background, from side, midriff, looking at another, jacket, hood, breast envy, red eyes, hands on hips, crop top, shirt, sleeveless, cowboy shot, bangs, black shorts, signature, hoodie, hand on hip, closed mouth, purple shirt, symmetrical docking, bob cut, shaded face, profile, height difference, blunt bangs, black jacket, black hair, denim shorts, long sleeves, blue hair"
16,"(masterpiece), (extremely detailed), (extremely detailed face), (ultra detailed), (1gir), lying in water, (spread legs), delicate eyes and face, (nude), (pubic hair), shiny skin, petite body, high ponytail hair, (smile, sleeping), (open mouth), (blonde), (onsen)"
17,"cum dripping, cum on tits, full body, outdoor sex, (sitting on a bench), (cum string, ejaculation, cum on face, cum on tits, taking a cumshot on her face,  matsumoto rangiku, jewelry, mole, long hair, blue eyes, large breasts, necklace, cleavage, blonde hair, white uniform shirt, (masterpiece, best quality, highly detailed "
18,"(mature woman:1.2), solo, (Blue long hair:1.1), yellow eyes, large breasts, (short black latex dress:1.1), open neckline, earrings, against a bar, smile, (makeup:1.1), ((masterpiece)), (high quality), (best quality), (detailed), hd, perfect lighting, detailed face, detailed body"
19,"(AM068_Emiliya_S:0.5), highres, extremely detailed, 8k photo, intricate details, professional lighting, full body, dynamic pose, , detailed face and eyes, 1girl, tight pink yoga pants, tight white sports bra, (large breasts:1.5), thigh gap, pantylines, looking back at viewer, huge ass cheeks, shy, blushing, smiling"
20,"(masterpiece, best quality), nsfw, 1girl, Raspberry Short Crop with High Fade, perfect breasts, Dirty Blonde Lace-up panties and front-tie bra, bare, bed sheet, lying, masturbation, pussy juice"
21,"hyper detailed, (highres), (absurdres), 1girl, solo, cowboy shot, golden hour, blue sky, contre-jour, wet, light blush, summer dress, outdoors, embarrassed, bus stop, roof, (hair ornament), rural, facing away, looking at viewer, sunlight"
22,"Koseki Bijou, bijou, looking at viewer, silver hair, purple eyes, 1girl, extremely_beautiful_detailed_anime_face, studio lighting, backlighting, depth of field, chromatic aberration, dynamic pose, good girl, (is wearing grey sweater:1.5), ultra-high detail CG, HDR, specular lighting"
23,"masterpiece, best quality, Koseki Bijou, bijou, looking at viewer, silver hair, blush, smile, radiant cave, glowing purple minerals, specular lighting, dimly lit, dress, bare shoulders, closed mouth, one eye closed, detached collar, portrait"
24,"1girl, (aunt cass), (mature woman), (milf), (short brown hair), green eyes, (jeans), (topless), (big breasts), (nipples), smile, open mouth, tongue out, (cum on tits), (pov), (close-up), (from front), (kneeling on floor), on rug, modern bedroom, bookshelves, plants, lamps, city in window, (night), dim light, looking at viewer, beautiful lighting, masterpiece, High Detail, Sharp focus, dramatic lighting, illustration, digital art"
25,"PrincessPeach, blue eyes, choker, glossy lips, pink lips, highres, masterpiece, perfect ligthing, bloom, cinematic lighting, perfect skin, female, narrow waist, skinny, detailled eyes, bikini beach"
26,"Lacus Clyne, (masterpiece, top quality, official art, beautiful and aesthetic, picture-perfect:1.4), 1girl, solo, Lacus, (looking at viewer, cowboy shot:1), (pink hair, pink colored hair, long hair, shiny hair, ponytail, hair ribbon, hair bow, wave hair ornament, hair clip, ornament:1.2), (blue eyes, shining blue eyes:1.3), [smile, closed mouth:1.2], [medium breasts, sexy:1], (Lacus Attire 3, bodysuit, pink bodysuit, pink clothes, full body suit, gloves, Lacus Clyne:1.4)"
27,"masterpiece, best quality, finely detailed, perfect faces, perfect eyes, gym storeroom, sunset, 1girl, large breasts, medium length black hair, blunt bangs, ponytail, brown eyes, buruma, blushing, wariza, sweating, open mouth, heavy breathing, leaning forward, looking at viewer, straight-on, perspective, feet out of frame"
28,"masterpiece, ultra-detailed, glistening shiny, glowing light, ray tracing, HDR, depth of field, (perfect face, detailed face, detailed eyes, glowing eyes, shiny eyes), 8k, HD, ultra  face, perfect lighting, looking at viewer, (1girl), assertive female, ((mature female)), milf, (big breasts), cleavage, curvy, thick thighs, wide hips, thin waist, midriff, seductive smile, (naughty face), LizSMLeaderThree, LizSM two side up, LizSM blue hair bow, blue eyes, military uniform, military jacket, military hat, covered nipples, large breasts"
29,"Embarrassed afraid young cute 20yo school girl embarrassingly exposed and trying to escape from being spanked, undressed. Trying to cover nudity. Private Parts on display. Clothing torn open. Close camera angle . Shamefully expossed butt In front of classroom.  "
30,"succubus, female demon, horns, beautiful woman, intricate colorful lingerie, wavy hair, beautiful face, perfect face, big gorgeous eyes, soft smile, perfect slim fit body, luxury bedroom, bright colors"
31,"masterpiece, best quality, 1woman, (beautiful fantasy woman being consumed by a bodysuit), cleavage, ((((large tits)))), busty, fantasy inn, fantasy, silver hair, hair in bun, long hair, ballerina frills, thigh to head shot, (corruption), (((lustful babe))), one single heart tattoo on the crotch area, (((goddess of lust))), naughty smile"
32,"((masterpiece, topless, public indecency, public nudity, outdoors, crowd, blue eyes)), star guardian, 2girls, breast press, breasts, cleavage, large breasts, multiple girls, symmetrical docking, BREAK megurine luka, pink hair BREAK hatsune miku"
33,"Rice Shower, (umamusume), 1girl, (small breasts:1.2), (light purple eyes, black hair, long hair), (Hide the right eye with your hair:1.6), (Blue rose[:1.2] on a blue hat[:1.2]), horse ears, horse tail, ((strapless black dress with lace, frills)), long sleeves, [[clavicle]], ((Blue rose brooch)), squatting"
34,"kemonomimi, kemonomimi anime girl, kemonomimi waifu, (DYNAMIC light), (((nude))), (((totally bare))), dynamic angle, ((extremely high quality artwork)), ((best quality)), incredibly absurdres, depth of field, ((highres)), ((masterpiece)), (ultra-detailed), ((an extremely delicate and beautiful)), (beautiful detailed eyes), (detailed background), (enhance colors), blush, breasts, chopsticks, food, green eyes, grey hair, hair ornament, kitsune"
35,"expressive eyes, perfect face, brown eyes, mature female cyberpunk japanese girl, ((red mechanical cybernetic arms)), ((black hair, ponytail)), completely nude, exposed breasts, exposed pussy in a futuristic cyberpunk apartment, small breasts, serious expression"
36,"Kurenai Yuhi, Kurenai Yūhi From Naruto, expressive eyes, perfect face, large breasts, city, smile, view from above, looking at viewer, (nar_kurenai_yuhi), (Naruto), black hair, long hair forehead protector, bandages, sarashi, red eyes, makeup, lipstick, fishnets, ninja, ((bikini))"
37,"(masterpiece), best quality, expressive eyes, perfect face, girl, (((black blunt bangs long hair))), shinny blue eyes, phone, holding phone, selfie in font the mirror, see through transparent dress, nice oufit, showing tits"
38,"(1girl, masterpiece, beautiful_eyes, stunning_eyes, perfect_face), presenting, perfect_breasts, see-through, red underwear, defined_pussy, pussy_juice, [luxanna_crownguard, lux_\(league_of_legends\), blue_eyes, blond_hair, long_hair, wavy_hair, hairband, seductive smile]"
39,"Raphtalia, red eyes, large breasts, brown hair, thighs, (raccoon ears, raccoon tail), happy, smile, parted lips, (outdoors, temple, cherry blossoms, nude, spread legs, sitting, hands on own breasts, thick thighs, thighhighs)"
40,"(masterpiece, best quality), intricate details, 1girl, rzechidna, butterfly hair ornament, transparent bodystocking, see-through, bodystocking, dark purple jacket, nipples, cameltoe"
41,"(from above), a young woman sunbathing at the beach, on back, sunglasses, wavy hair, slim fit body, intricate colorful micro bikini, late afternoon, parted lips, candid shot"
42,"(erotic, seductive, lustful), (masterpiece, best quality), (intricate details), ultra detailed, beautiful and aesthetic, (photo), (1girl), green eyes, blonde, hair ornament, short hair, blush, dynamic pose, dynamic angle, lipstick, medium breast, outdoor, detailed background, , solo, highly detailed, ((fantasy forest)), ((flowers around)), ((dark night)), ((darkness)), elf ears, short hairs, magic flowers, ((moon)), (LaurenV, tattoo)"
43,"(mature adult tall, mature face), (glowing blue eyes), cat ears, (narrow waist), gradient pink inner hair, large breasts, large areolae, bra, cleavage, lips, looking at viewer, 3d, feet, black legwear, (feet focus), lying, no shoes, on back, on bed, open mouth, pantyhose, photo \(medium\), soles, solo, tongue, tongue out, unmoving pattern, a woman with pink hair and black stockings laying on a bed with her legs up, superflat, Aya Goda"
44,"(mature woman), looking at viewer, curvy, shirt lift, t-shirt, lifting shirt, topless, breasts, nipples, wink, mischievous smile, laugh, one eye closed, happy, long hair, midriff, nose, hair behind ear, lips, eyelashes, (stud earring), grocery store, lot of fruits and vegetables"
45,"(best quality), (masterpiece), CGI, 3d render, (unreal engine), physically based rendering, (octane render:1.3), intricate detail, (rtx, RTX on), beautiful features, 8k, subsurface scattering, specular light, highres, ray traced, highest quality, stunning, extreme high quality, 3d render of a sexy adult woman in missionary position, ((spread legs, spreading legs and pussy)), (red hair), long hair, perfect face, blue eyes, beautiful lips, lip filler, abs, garter thighs, large breasts, perfect tits, perfect ass, high heels, ((missionary)), 1girl, (spread pussy, pussy gape, cum, after sex, cum in pussy, cumdrip, sweat, pussy, cervix, cervical, detailed pussy, wet pussy, pussy juice, cum dripping), hourglass bodyfigure, hourglass figure, solo, nude, (((bukkake))), skinny (muscular:1.1), (fit body:1.3), (narrow waist:1.1), wide hips, ((thigh gap:1.1)), cum pool:1.3, from below"
46,"ichika nakano, (1girl, masterpiece, beautiful_eyes, stunning_eyes, perfect_face), spread_legs, bottomless nude, perfect_breasts, see-through, nightgown, [pussy_juice_stain, defined_pussy], [(bright Blue eyes), (pale pink hair:1.5), (short-cut hair:1.2), bangs, hair between eyes, (earrings:0.8)"
47," (masterpiece), best quality, expressive eyes, perfect face, anime woman, brown hair in bun, brown eyes, far away from the camera, smiling, age 30, soft features, glossy lips, sunset behind her, cleavage, Sitting at a table, casual clothes, eastern european core, eastern european vibe, Fluffy clouds in the sky, reddish pink clouds from the sunset in the window"
48,"(adult, mature woman:1.2), (nipple slip, one breast out:1.2), looking at viewer, slight smile, mischievous, blush, small breasts, lips, nose, lipstick, hand on hip, thighs, curvy, pose, jean shorts, garden, mansion, cowboy shot, studs, sleeveless, off shoulder"
49,"1girl, underwear, redhead, from behind, ass, thong, bent over table, looking back, looking at viewer, hair bun, cameltoe, black glasses, mischievous, flirty, amused, lips, sleeveless, mature woman, eyelashes, nose, modern living room, television"
50,"((steampunk)), ((hyper-)), (8k, RAW photo, highest quality), (((fantasy))), (((sci-fi))), (((steampunk))) beautiful mature French woman, ash blonde hair, hat, fancy shirt, cleavage, medium breasts, jacket, in a Victorian library, 1890s style, ((steampunk costume)), (detailed eyes:0.8), (looking at the camera:1.4), (highest quality), (best shadow), intricate details, interior, darkened, light streaming through window, muted colors, (steampunk), hi-res photography, sci-fi"
51,"(masterpiece), best quality, expressive eyes, perfect face, blushing, thigh highs, sweating, thick thighs, cocky smile, ((laying on back with legs spread)), missionary position, front pov, (pussy out, perfect pussy), (entire person in frame), (big breasts:1.4), (topless:1.4), puffy nipples, large areolae, (full nude:1.4), (muscular body:1.6), (orange pubic hair:1.4), mereoleona vermillion, mature female, crazy smile, legs spread apart"
52,"(Best Quality, Masterpiece), detailed background, intricate, (solo), smile, (lady, adult woman, adult, mature female,), large breasts, long hair, hands in pocket, auburn hair, teeth, hoodie, open hoodie, zipper, large areolae, nipples midriff, shorts, upper body, curvy, streaked hair, silver hair, mole under eye, floating hair, petals, falling petals"
53,"detailed background, intricate, (solo), (tall, woman, mature_female, mature woman), long hair, detailed face, eyelashes, (makeup, mascara), (lips), (pool, black sarong, bra), (copper hair, jade eyes), teeth, smile"
54,"detailed hair, detailed face, detailed background, 1girl, solo, sidelocks, (dark red hair, glowing eyes, very long hair), long dress, dress, standing, jewelry, necklace, water, (elbow gloves), (woman, mature female, tall, mature woman), petals, hairpods, dark, moon, stars, expressionless, sfw, nice hands, hair between eyes, braid"
55,"detailed background, intricate, 1girl, (solo), smile, (evening, dusk, sunset), cinematic lighting, outdoors, pink pupils, elf, pointy ears, pink hair, long hair, blue eyes, bangs, ponytail, nsfw, shoulders, breasts, teeth, pussy, nude, sleeves, nipples, thighhighs"
56,"1woman, lauren_d, 20 years old Lauren is a stunning blonde Ukrainian with perfect light blue eyes, soft and pale skin, big and natural tits, and wide and feminine hips, ((in the water, submerged up to her waist, waves crashing over her)), medium close-up, swimsuit, topless, NSFW, hdr, shallow DoF, f1.4, volumetric lighting, Fujifilm"
57,"(high quality, perfect quality, masterpiece), gorgeous korean woman in black mini skirt topless in a dark city, (beautiful face), breasts, nipple, (perfect face), black skirt, detailed face, looking at viewer, smooth skin, medium breasts, portrait, standing, black thigh highs, night"
58,"Insanely detailed, front facing, commercial illustration of a adult woman with mature face and perfect jaw lines, big breasts, long white hair with uneven cut bangs, dressed in flowers with flowers in her hair, in the style of artgerm, vibrant palette knife, franciszek starowieyski, michael malm, captures the essence of nature, sun-kissed palettes, illustration"
59,"(((masterpiece))), ((best quality)) (character concept), (middle earth, A sprawling castle, perched high on a rocky cliff overlooking the sea, Tolkien) muscle-bound (intricate detailed, milf, mature female) (dynamic lighting, cinematic lighting )), ((absurd res, )), 30 years old, mature woman, highly detailed, illustration, 1girl, perfect hands, detailed fingers, beautiful detailed eyes, single hair bun, rainbow_hair, hazel, (cat girl, Partial nudity, pajamas), detailed background, perfect eyes, despair, looking at the viewer, dynamic pose, from front, cowboy shot"
60,"(8k, raw photo), (hyper , depth of field, photo ), (hyper supreme extreme quality beautiful women), (supreme hyper extreme  skin texture), (best quality, (ultra detailed:), (highres, (extremely detailed CG), masterpiece, ultra-detailed, detailed background, (fit woman), highlights, detailed eyes, volumetric lighting, (high contrast), (blue and cyan colored hair, braid), (seductive smile, naughty face), glasses), ((nipples)), ((navy blue colored latex transparent reflective t-shirt, silver colored latex transparent long skirt)), (tropical), (standing)"
61,"Mature woman, partially submerged, in hot tub, ripples, waves, bubbles, nude, looking at viewer, blush, bracelet, jewelry, onsen, steam, reflections, (refraction:1.2), relaxing, gentle, calm, peaceful, curvy, thick, collarbone, small nipples, medium breasts, detailed face, motivated light, wet hair, wet skin, sweat, copper, braided hairstyle"
62,"(masterpiece, best quality:1.4), high resolution, intricate details, perfect lighting, best shadow, detailed light, cinematic lighting, 1girl, solo, looking at viewer, facing viewer, black hair, bob cut, bangs, messy hair, blue eyes, glowing eyes, open mouth, tongue, (tongue out), blush, [muscular], ripped abs, abs, obliques, cleavage, medium breasts, symmetrical breasts, red bra, red lace-trimmed_bra, bow bra, lingerie, shirt lift, pulled by self, clothes pull, white shirt, denim, jeans"
63,"medium shot of beautiful cyberpunk woman, sunglasses, red hair, ponytail, large breasts, cleavage, in battle fatigues, (blue glowing emissive eyes with tech details), facial implants, sunset, cyberpunk city background, megacity, gorgeous view, dramatic light, depth, high detail, digital art, painted by greg rutkowski, neuromancer, trending on artstation, octane render, highly detailed, 8k, rim lighting, digital painting, artstation, more details, concept art, sharp focus, cinematic lighting, ray tracing, chromatic aberration, portrait:1. 5), (best quality:1. 5)"
64,"best quality, masterpiece, highres, photo , ultra , (highly detailed skin:1.2), 8k uhd, dslr, soft lighting, high quality, volumetric lighting, candid, photograph, high resolution, 4k, 8k, ultra  8k, movie scene, medium shot photo, cinematic, highly detailed, filmic sexy ghost woman"
65,"best quality), photo of sexy cowgirl riding her horse, perfect eyes (extremely detailed), High Detail"
66,"(ultra-hyper-photo:1.4), insane detail, fine detailed fabrics, equal eyes, embellish, (insanely detailed, beautiful detailed face, masterpiece, best quality), 1girl, anime style, topless, nipples, ((inspecting her pistol)), medium breast, green combat pants, short hair, brown hair, in an apartment"
67,"deep shadow, (high detailed face:1.3), (high detailed skin:1.2), detailed skin, skin imperfections, glitter skin tone, (complete eyes, complete face:1.1), (shiny eyes:1.2), extremely detailed eyes and face, in UE5 setting and rendering 4x with this photo and dynamic (Large Shot), ((photogenic, rule of thirds)). Captured in stunning 4K and 8K resolution, Utilizing advanced camera equipment, including Kodak Funsaver disposable camera, film grain, Fujifilm XT3, dynamic lighting, shadows, RAW photo of a big boobs blonde, nice oufit, showing tits, fit body, yellow jacket, tight skirt"
68,"(ultra-hyper-photo:1.4), (sharp focus), (crystal clear), insane detail, fine detailed fabrics, equal eyes, outdoors, embellish, (insanely detailed, beautiful detailed face, masterpiece, best quality), Stunning woman, blonde, big breasts, various hairstyles, messy hair, wearing a Nike hoodie, crop-top hoodie, pyjama shorts, hands in pocket, blue eyes, futuristic apartment setting, cyberpunk city, storm outside, lightnings, night time"
69,"1girl, masterpiece, mature female, short hair, dark blue hair, medium breasts, nipples, wide hips, golden bra, tight denim shorts, drinking coke, seated, street city, solo, dusk, yellow sunlight, light light particles, partially clothed, coke vending machine."
70,"4k, Photo , anime woman, topless, nipples, sweating:1.5, perky medium breast, wide hips, black panty, small necklace, short hair, messy dark blue hair, exhausted face, museum, Sunny lighting, award winning photo, extremely detailed, amazing, fine detail, highly detailed woman"
71,", stunning  masterpiece 20 years old girl with silver hair, heavy sweat, nude except nike pro shorts, blue eyes, cum on face, piercings in ears, sporty figure, red lips, posing for photo in gym, (deep shadow), (darkness), award winning photo, extremely detailed, amazing, fine detail, highly detailed woman"
72,"stunning woman with auburn hair in high ponytail, topless, wearing pinstripe pencil skirt, black rim glasses in an office, seductive look, (deep shadow), (darkness), award winning photo, extremely detailed, amazing, fine detail, highly detailed woman"
73,"(masterpiece), (best quality), perfect lighting, perfect eyes, perfect face, detailed face, adult face, mature face, red skinny dress, through, punk hair style, in metro, graffiti, tattoo, spikes, small breasts, protruding nipples, large aureole"
74,"(mature, adult, woman:1, 5), breasts, ass, tattoo, thighs, huge thighs, nude, waterfall, blonde hair, long hair, water, solo, dark-skinned, huge breasts, wet, dark skin, muscular, bug, night, moon, butterfly, jewelry, large hips, outdoors, leg tattoo, earrings, curvy, head rest"
75,"Masterpiece, 1 girl, Middle Eastern, long brunette hair, tall with an hourglass figure, wearing elegant attire while sitting on intricately designed mosaic tiles - Al-Lat, Arabian Moon Goddess and Protector of the Oases. Her gown is a blend of rich fabrics and delicate embroidery, highlighting her feminine curves and allure. cleavage, miranda kerr"
76,"Masterpiece, 1 girl, she has long blond hair, wearing a schoolgirl outfit, standing outside a classroom door, holding a stack of books and looking nervously towards the entrance. Students pass by her, giggling and flirting."
77,"Masterpiece, she has long blond hair, wearing a nurse's uniform, standing in a hospital room, cleavage, hanging boobs, leaning forward"
78,"Masterpiece, long curly hair, playful features, pastel-colored lingerie set, ruffles, bows, florals, matching robe, satin sheets, pillows, crown molding, ornate frames."
79,"sexy face, ((Masterpiece, best quality)), edgQuality, smirk, smug, blonde Nadia with sunglasses and a choker, a woman in a blouse, and a skirt, chic top"
80,"((masterpiece)), (best quality), hires, orange hair, orange eyes, short twintails, hair ornament, (big breasts), looking at viewer, close up, accent lighting, faded, misty soft colors, (soft focus:1.1) (from below:1), (jacket, black micro bikini:1.2), open shoulders, hands in pockets, thighhighs, standing near the wall, near the wall, (brick wall on the background:1.3), gloomy surroundings, dark atmosphere, owergrown wall"
81,"masterpiece, Goddess - A woman who looks like she's from Mexico is ideal for this picture. She should have dark hair and olive skin. Her outfit could include a colorful skirt with an embroidered top, and a serape around her shoulders. The setting might be a vibrant Mexican marketplace or plaza., cleavage"
82,"masterpiece, absurdres, 4k, hdr, mature woman, looking_at_viewer, eye_contact, wearing a cowboy_hat, (adjusting_headwear:1.21), revealing_clothes, skin_tight, large_breasts, curvy, micro_shorts, poncho, cowboy_western, :o, raised_eyebrows, in_heat, long_hair, curly_hair, green_eyes, (belt_buckle), contrapposto, hand_on_hip, outdoors, desert, cactus, embedding:hotify, begging for sex, erotic image, nsfw, lewd"
83,"(masterpiece, best quality), perfect slim fit body, thick thighs, nice breasts, braided twintails, printed sleeveless cropped blouse, jeans, necklace, bracelets, backpack, big gorgeous eyes, parted lips, blush, walking pose, college compound, natural lighting"
84,"1girl, solo, (adult:1.2), (tall:1.2), (old:1.2), white hair, yellow eyes, huge breasts, perky tits, upper body, close up, ((close up breasts)), from front, high quality, high definition, extremely detailed, perfectly drawn portrait, ((((completely naked)))), (((nudity))), (((nude))), beach background, waves, trees, sand, centered, symmetrical, ((((hands on breasts))))"
85,"(masterpiece, best quality), pixel art, perfect slim fit body, thick thighs, nice breasts, wavy hair, bracelet, necklace, (printed micro bikini), walking pose, beach, sky, clouds, natural lighting"
86,"(adult:1.2), medium breasts, slim, seductive smile, Asian, cute, hourglass figure, (((seductive posture))), curvy body, curvy body, hourglass figure, cityscape"
87,"solo, 1girl, ((yamato from one piece)), white hair, multicolored hair, orange eyes, orange horns, huge breasts, upper body, close up, ((close up breasts)), (smiling:1.1), ((floral bikini)), ((centered, symmetrical)), beach background, extremely detailed, perfectly sketched, high definition, 8k resolution,"
88,"(masterpiece, best quality, high resolution),cowboy shot, 1girl, ass, sitting, solo, from behind, desk, panties, ass focus, wide hips, huge ass, wearing a Christmas clothes, red short dress christmas themed, stamped thong with christmas themed, big red ribbon around waist, xmas red hat, christmas tree, gift boxes"
89,"(masterpiece, best quality), pixel art, perfect slim fit body, thick thighs, nice breasts, wavy hair, bracelet, necklace, (transparent silk nightie:1.2), standing pose, luxury penthouse bedroom, elaborate details, ambient lighting, (at the balcony, city skyline at night)"
90,"(masterpiece, best quality), pixel art, perfect slim fit body, nice breasts, wavy hair, bracelet, necklace, (pastel transparent lingerie:1.2), sleeping pose, resting, on bed, on back, luxury penthouse bedroom, elaborate details, ambient lighting, top pixiv, top artstation"
91,"breast_focus, masterpiece, absurdres, 4k, hdr, mature woman, (looking_down:1.2), upturned_eyes, eye_contact, seiza, (legs_together), hands_on_lap, own_hands_clasped, breasts, nipples, unaligned_breasts, topless, huge_breasts squeezed together, v arms, bra_pull, pulled_by_self, :o, (worried:1.21), embarrassed, shy, thick_lips, blush, black_pantyhose, skirt, brown_hair, curly_hair, (pink_eyes), head_tilt, kneeling, from_above, (pov), outdoors, on_grass, vivid colors"
92,"masterpiece, absurdres, 4k, intricate detail, solo, looking_at_viewer, eye_contact, 1girl, chisato nishikigi, blonde hair, red eyes, short hair, sun_hat, medium breasts, hair ribbon, side-tie_bikini_bottom, string_bikini, head_tilt, (sly grin), cameltoe, shiny_skin, standing, contrapposto, hands_on_hips, cowboy_shot, sunlight, outdoors, beach"
93,"a pretty woman, dark skin, big boobs, blue hair, hair covering one eye, hair band, freckles, best quality, masterpiece, ultra-detailed, novel illustration, (beautiful detailed eyes), beautiful, amazing, official art, high-quality, high-resolution, sexy maid outfit"
94,"((masterpiece)), 1girl, (close-up:0.7), looking at viewer, (Victoria Secret model, arms behind back), (((wearing a white bra))), too tight, overflowing bra, ((heavy blush)), (embarassed smile), (huge_breasts), slim waist, (black hair, twintails), short hair, (orange eyes), sweatpants, storeroom,"
95,"[NSFW], ((masterpiece:1.2)), ((best quality:1.2)), 4k, HDR, (realistic), (hyperdetailed), photorealism, (magical fantasy isekai), (cheerful guild master), bright iridescent pink hair, ((inside fantasy adventurer's guild)), behind guild counter, luminescent magical runes, cinematic, (cleavage), caring, sweet, (rustic)"
96,"(exposed breasts:1.3), (nipples:1.4), nsfw, official art, masterpiece portrait, extreme details, (((dragon goddess))), 1girl, (scales pattern black|red arm bodypaint:1.3), (pale skin:1.2), closed mouth, shy, black|red dragon horns, black|red scaled dragon wings, elf ears with multiple earrings (character focus), ((perfect anatomy)), (((extreme detail))),face paint, eye paint, detailed background, blush"
97,"heaven, NSFW, topless, solo, beautiful face, beautiful body, gorgeous, masterpiece, symmetrical breasts, angel wings, blonde, wavy hair, streaked hair"
98,"(masterpiece), best quality, expressive eyes, perfect face， high nose bridge, fair skin, big eyes, aquamarine eyes, long light blond curly hair, cool color Skin, white skin, fair skin, thin, slender, slender, white to shiny skin, cold white skin,perfect eyes, perfect hands, perfect body, perfect hair, perfect breasts, hair behind ears,,(bath, wet clothes:1.1),"
